GRID_TYPE;GAME_ID;GAME_EVENT_ID;PLAYER_ID;PLAYER_NAME;TEAM_ID;TEAM_NAME;PERIOD;MINUTES_REMAINING;SECONDS_REMAINING;EVENT_TYPE;ACTION_TYPE;SHOT_TYPE;SHOT_ZONE_BASIC;SHOT_ZONE_AREA;SHOT_ZONE_RANGE;SHOT_DISTANCE;LOC_X;LOC_Y;SHOT_ATTEMPTED_FLAG;SHOT_MADE_FLAG;GAME_DATE;HTM;VTM
Shot Chart Detail;20300014;20;2544;LeBron James;1610612739;Cleveland Cavaliers;1;8;56;Made Shot;Jump Shot;2PT Field Goal;Mid-Range;Right Side(R);8-16 ft.;15;158;0;1;1;20031029;SAC;CLE
Shot Chart Detail;20300014;28;2544;LeBron James;1610612739;Cleveland Cavaliers;1;7;44;Made Shot;Jump Shot;2PT Field Goal;Mid-Range;Left Side(L);8-16 ft.;13;-131;2;1;1;20031029;SAC;CLE
Shot Chart Detail;20300014;35;2544;LeBron James;1610612739;Cleveland Cavaliers;1;7;1;Made Shot;Fadeaway Jump Shot;2PT Field Goal;Mid-Range;Right Side(R);16-24 ft.;16;163;5;1;1;20031029;SAC;CLE
Shot Chart Detail;20300014;54;2544;LeBron James;1610612739;Cleveland Cavaliers;1;4;48;Made Shot;Running Jump Shot;2PT Field Goal;In The Paint (Non-RA);Center(C);Less Than 8 ft.;5;54;22;1;1;20031029;SAC;CLE
Shot Chart Detail;20300014;67;2544;LeBron James;1610612739;Cleveland Cavaliers;1;3;3;Made Shot;Slam Dunk Shot;2PT Field Goal;Restricted Area;Center(C);Less Than 8 ft.;0;0;0;1;1;20031029;SAC;CLE
Shot Chart Detail;20300014;76;2544;LeBron James;1610612739;Cleveland Cavaliers;1;1;57;Made Shot;Jump Shot;2PT Field Goal;Restricted Area;Center(C);Less Than 8 ft.;3;15;36;1;1;20031029;SAC;CLE
Shot Chart Detail;20300014;224;2544;LeBron James;1610612739;Cleveland Cavaliers;3;11;18;Made Shot;Jump Shot;2PT Field Goal;In The Paint (Non-RA);Center(C);8-16 ft.;9;0;95;1;1;20031029;SAC;CLE
Shot Chart Detail;20300014;233;2544;LeBron James;1610612739;Cleveland Cavaliers;3;9;54;Made Shot;Running Jump Shot;2PT Field Goal;In The Paint (Non-RA);Center(C);Less Than 8 ft.;7;71;12;1;1;20031029;SAC;CLE
Shot Chart Detail;20300014;235;2544;LeBron James;1610612739;Cleveland Cavaliers;3;9;32;Made Shot;Finger Roll Shot;2PT Field Goal;In The Paint (Non-RA);Center(C);Less Than 8 ft.;4;20;41;1;1;20031029;SAC;CLE
Shot Chart Detail;20300014;322;2544;LeBron James;1610612739;Cleveland Cavaliers;4;11;15;Made Shot;Driving Layup Shot;2PT Field Goal;Restricted Area;Center(C);Less Than 8 ft.;0;0;0;1;1;20031029;SAC;CLE
Shot Chart Detail;20300014;346;2544;LeBron James;1610612739;Cleveland Cavaliers;4;8;35;Made Shot;Jump Shot;2PT Field Goal;Mid-Range;Right Side(R);16-24 ft.;21;176;123;1;1;20031029;SAC;CLE
Shot Chart Detail;20300014;388;2544;LeBron James;1610612739;Cleveland Cavaliers;4;4;17;Made Shot;Driving Finger Roll Shot;2PT Field Goal;Restricted Area;Center(C);Less Than 8 ft.;0;0;0;1;1;20031029;SAC;CLE
Shot Chart Detail;20300018;26;2544;LeBron James;1610612739;Cleveland Cavaliers;1;8;36;Made Shot;Jump Shot;2PT Field Goal;Mid-Range;Right Side Center(RC);16-24 ft.;18;133;125;1;1;20031030;PHX;CLE
Shot Chart Detail;20300018;73;2544;LeBron James;1610612739;Cleveland Cavaliers;1;5;1;Made Shot;Jump Shot;3PT Field Goal;Left Corner 3;Left Side(L);24+ ft.;23;-227;48;1;1;20031030;PHX;CLE
Shot Chart Detail;20300018;198;2544;LeBron James;1610612739;Cleveland Cavaliers;2;5;37;Made Shot;Jump Shot;2PT Field Goal;Mid-Range;Left Side Center(LC);16-24 ft.;17;-115;135;1;1;20031030;PHX;CLE
Shot Chart Detail;20300018;231;2544;LeBron James;1610612739;Cleveland Cavaliers;2;2;40;Made Shot;Slam Dunk Shot;2PT Field Goal;Restricted Area;Center(C);Less Than 8 ft.;0;0;0;1;1;20031030;PHX;CLE
Shot Chart Detail;20300018;300;2544;LeBron James;1610612739;Cleveland Cavaliers;3;5;42;Made Shot;Jump Bank Shot;2PT Field Goal;In The Paint (Non-RA);Center(C);8-16 ft.;9;-34;87;1;1;20031030;PHX;CLE
Shot Chart Detail;20300018;354;2544;LeBron James;1610612739;Cleveland Cavaliers;3;1;36;Made Shot;Layup Shot;2PT Field Goal;Restricted Area;Center(C);Less Than 8 ft.;0;0;0;1;1;20031030;PHX;CLE
Shot Chart Detail;20300018;368;2544;LeBron James;1610612739;Cleveland Cavaliers;3;0;3;Made Shot;Jump Bank Shot;2PT Field Goal;In The Paint (Non-RA);Center(C);Less Than 8 ft.;6;-67;15;1;1;20031030;PHX;CLE
Shot Chart Detail;20300018;536;2544;LeBron James;1610612739;Cleveland Cavaliers;4;5;52;Made Shot;Jump Shot;2PT Field Goal;Mid-Range;Right Side Center(RC);16-24 ft.;19;130;147;1;1;20031030;PHX;CLE
Shot Chart Detail;20300038;41;2544;LeBron James;1610612739;Cleveland Cavaliers;1;6;38;Made Shot;Layup Shot;2PT Field Goal;Restricted Area;Center(C);Less Than 8 ft.;0;0;0;1;1;20031101;POR;CLE
Shot Chart Detail;20300038;242;2544;LeBron James;1610612739;Cleveland Cavaliers;3;10;52;Made Shot;Jump Shot;2PT Field Goal;Mid-Range;Left Side Center(LC);16-24 ft.;22;-74;210;1;1;20031101;POR;CLE
Shot Chart Detail;20300038;319;2544;LeBron James;1610612739;Cleveland Cavaliers;3;1;37;Made Shot;Jump Shot;2PT Field Goal;Mid-Range;Right Side Center(RC);16-24 ft.;21;161;138;1;1;20031101;POR;CLE
Shot Chart Detail;20300057;46;2544;LeBron James;1610612739;Cleveland Cavaliers;1;6;31;Made Shot;Slam Dunk Shot;2PT Field Goal;Restricted Area;Center(C);Less Than 8 ft.;0;-5;2;1;1;20031105;CLE;DEN
Shot Chart Detail;20300057;155;2544;LeBron James;1610612739;Cleveland Cavaliers;2;8;14;Made Shot;Layup Shot;2PT Field Goal;Restricted Area;Center(C);Less Than 8 ft.;0;-2;0;1;1;20031105;CLE;DEN
Shot Chart Detail;20300057;191;2544;LeBron James;1610612739;Cleveland Cavaliers;2;4;36;Made Shot;Slam Dunk Shot;2PT Field Goal;Restricted Area;Center(C);Less Than 8 ft.;0;-2;-3;1;1;20031105;CLE;DEN
Shot Chart Detail;20300068;31;2544;LeBron James;1610612739;Cleveland Cavaliers;1;8;42;Made Shot;Layup Shot;2PT Field Goal;Restricted Area;Center(C);Less Than 8 ft.;1;-16;7;1;1;20031107;IND;CLE
Shot Chart Detail;20300068;73;2544;LeBron James;1610612739;Cleveland Cavaliers;1;4;49;Made Shot;Finger Roll Shot;2PT Field Goal;Restricted Area;Center(C);Less Than 8 ft.;2;6;28;1;1;20031107;IND;CLE
Shot Chart Detail;20300068;116;2544;LeBron James;1610612739;Cleveland Cavaliers;1;0;43;Made Shot;Hook Shot;2PT Field Goal;Mid-Range;Left Side(L);8-16 ft.;9;-90;0;1;1;20031107;IND;CLE
Shot Chart Detail;20300068;133;2544;LeBron James;1610612739;Cleveland Cavaliers;2;11;24;Made Shot;Jump Shot;3PT Field Goal;Above the Break 3;Left Side Center(LC);24+ ft.;26;-192;176;1;1;20031107;IND;CLE
Shot Chart Detail;20300068;177;2544;LeBron James;1610612739;Cleveland Cavaliers;2;6;25;Made Shot;Layup Shot;2PT Field Goal;Restricted Area;Center(C);Less Than 8 ft.;2;21;10;1;1;20031107;IND;CLE
